Link,Address,Suburb,Beds,Baths,Carpark,Type,Sale Type,Price
https://www.ratemyagent.com.au/real-estate-agency/noonan-real-estate-agency/property-listings/9-akoonah-place-peakhurst-heights-afsg66,9 Akoonah Place,Peakhurst Heights NSW 2210,3,1,2,House,Sold by Auction  on 05 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-parramatta/property-listings/31-simpson-street-dundas-valley-aft9tr,31 Simpson Street,Dundas Valley NSW 2117,3,1,2,House,Sold by Private Sale  on 05 Dec 2021,"$1,805,000"
https://www.ratemyagent.com.au/real-estate-agent/peter-omalley-cc015/sales/overview,6 Albert Square,Paddington NSW 2021,2,1,,House,Sold by Private Sale  on 05 Dec 2021,"$1,800,000"
https://www.ratemyagent.com.au/real-estate-agency/best-value-real-estate-st-marys/property-listings/82-captain-cook-drive-willmot-afqul8,82 Captain Cook Drive,Willmot NSW 2770,3,2,1,House,Sold by Private Sale  on 05 Dec 2021,"$670,000"
https://www.ratemyagent.com.au/real-estate-agency/upside-nsw-act/property-listings/7-waring-avenue-caringbah-south-afsuo5,7 Waring Avenue,Caringbah South NSW 2229,4,2,2,House,Sold by Auction  on 05 Dec 2021,"$2,900,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-strathfield/property-listings/78-mintaro-avenue-strathfield-afv2y5,78 Mintaro Avenue,Strathfield NSW 2135,5,6,4,House,Sold by Private Sale  on 05 Dec 2021,"$4,600,000"
https://www.ratemyagent.com.au/real-estate-agency/green-real-estate-agency-west-ryde/property-listings/68a-brush-road-west-ryde-afr8mt,68A Brush Road,West Ryde NSW 2114,5,2,2,House,Sold by Auction  on 05 Dec 2021,"$2,388,000"
https://www.ratemyagent.com.au/real-estate-agency/stone-real-estate-lindfield/property-listings/12-middle-harbour-road-lindfield-afsxfh,12 Middle Harbour Road,Lindfield NSW 2070,4,3,2,House,Sold by Auction  on 05 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/uniland-real-estate/property-listings/32a-whitsunday-circuit-green-valley-aftk6i,32A Whitsunday Circuit,Green Valley NSW 2168,3,2,1,House,Sold by Auction  on 05 Dec 2021,"$780,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-macarthur-group-campbelltown/property-listings/16-waterworth-drive-narellan-vale-afrdu3,16 Waterworth Drive,Narellan Vale NSW 2567,4,2,1,House,Sold by Private Sale  on 05 Dec 2021,"$801,000"
https://www.ratemyagent.com.au/real-estate-agent/peter-omalley-cc015/sales/overview,5 Loftus Street,Leichhardt NSW 2040,6,4,,House,Sold by Private Sale  on 04 Dec 2021,"$3,100,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-sutherland-shire/property-listings/16-yeran-street-sylvania-afsi53,16 Yeran Street,Sylvania NSW 2224,3,1,1,House,Sold by Private Sale  on 04 Dec 2021,"$1,880,000"
https://www.ratemyagent.com.au/real-estate-agency/pilcher-residential/property-listings/23-wells-street-annandale-afsqzd,23 Wells Street,Annandale NSW 2038,3,2,1,House,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-st-george/property-listings/2a-inverness-ave-penshurst-afsive,2A Inverness Ave,Penshurst NSW 2222,4,2,2,House,Sold by Auction  on 04 Dec 2021,"$1,322,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-parramatta/property-listings/95-isabella-street-north-parramatta-afskwp,95 Isabella Street,North Parramatta NSW 2151,4,2,4,House,Sold by Auction  on 04 Dec 2021,"$1,955,000"
https://www.ratemyagent.com.au/real-estate-agency/dijones-willoughby/property-listings/85a-laurel-street-north-willoughby-aft8ju,85A Laurel Street,North Willoughby NSW 2068,4,2,1,House,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/cripps-cripps-property-cronulla/property-listings/13-irrubel-road-caringbah-afsbuy,13 Irrubel Road,Caringbah NSW 2229,3,1,1,House,Sold by Auction  on 04 Dec 2021,"$2,455,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-double-bay/property-listings/211-hopetoun-avenue-vaucluse-afroep,211 Hopetoun Avenue,Vaucluse NSW 2030,4,3,2,House,Sold by Private Sale  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/pace-property-agents/property-listings/53-northcote-road-greenacre-afswlk,53 Northcote Road,Greenacre NSW 2190,3,1,4,House,Sold by Auction  on 04 Dec 2021,"$1,550,000"
https://www.ratemyagent.com.au/real-estate-agency/pace-property-agents/property-listings/107-mount-lewis-avenue-mount-lewis-afsnfn,107 Mount Lewis Avenue,Mount Lewis NSW 2200,5,3,3,House,Sold by Auction  on 04 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-estate-agents-liverpool/property-listings/3-henrietta-close-cecil-hills-afsnh4,3 Henrietta Close,Cecil Hills NSW 2171,4,3,2,House,Sold by Auction  on 04 Dec 2021,"$1,650,000"
https://www.ratemyagent.com.au/real-estate-agency/drake-real-estate/property-listings/68-rickard-rd-north-narrabeen-afsx6o,68 Rickard Rd,North Narrabeen NSW 2101,3,2,3,House,Sold by Auction  on 04 Dec 2021,"$2,230,000"
https://www.ratemyagent.com.au/real-estate-agency/lumby-hampson/property-listings/5-knock-farrell-road-glenorie-afsx2t,5 Knock Farrell Road,Glenorie NSW 2157,6,4,6,House,Sold by Auction  on 04 Dec 2021,"$3,465,000"
https://www.ratemyagent.com.au/real-estate-agency/elders-greenacre/property-listings/96-juno-parade-greenacre-afsqkv,96 Juno Parade,Greenacre NSW 2190,3,1,1,House,Sold by Auction  on 04 Dec 2021,"$1,120,000"
